epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,25522.9,0.64032,0.3188,0.91543,0.98618,0.9739,0.99328,0.85198,0.60189,0.25549,0.90442,0.005248,0.005248,0.005248
146,25698.1,0.6353,0.3146,0.91486,0.98591,0.97397,0.99327,0.85202,0.60163,0.25553,0.90435,0.005215,0.005215,0.005215
147,25874.4,0.63554,0.31349,0.91473,0.98576,0.97397,0.99326,0.8521,0.60153,0.25554,0.90428,0.005182,0.005182,0.005182
148,26050.6,0.63547,0.31306,0.91394,0.98464,0.97476,0.99326,0.85192,0.60107,0.25525,0.90406,0.005149,0.005149,0.005149
149,26226.3,0.63308,0.31114,0.91341,0.98463,0.97462,0.99326,0.8519,0.60119,0.25501,0.90403,0.005116,0.005116,0.005116
150,26402.4,0.63462,0.31083,0.91524,0.9847,0.97455,0.99325,0.85198,0.60119,0.25518,0.90405,0.005083,0.005083,0.005083
151,26578.2,0.63374,0.311,0.91319,0.98484,0.97439,0.99323,0.85189,0.60139,0.25526,0.9041,0.00505,0.00505,0.00505
152,26754.4,0.63202,0.30985,0.91353,0.98589,0.97381,0.99324,0.85198,0.60127,0.255,0.90406,0.005017,0.005017,0.005017
153,26930.6,0.63646,0.31518,0.91567,0.98591,0.97368,0.99322,0.85161,0.60119,0.25496,0.904,0.004984,0.004984,0.004984
154,27106.7,0.63221,0.30997,0.91565,0.98561,0.97396,0.99324,0.852,0.60105,0.25466,0.9039,0.004951,0.004951,0.004951
155,27283.3,0.63491,0.31048,0.91486,0.98548,0.97411,0.99325,0.85195,0.60078,0.25485,0.90373,0.004918,0.004918,0.004918
156,27459.3,0.6307,0.30982,0.91277,0.98516,0.97446,0.99328,0.85196,0.60081,0.25461,0.90373,0.004885,0.004885,0.004885
157,27635.1,0.62982,0.30964,0.91347,0.98533,0.97424,0.99329,0.85166,0.60115,0.25484,0.90386,0.004852,0.004852,0.004852
158,27811.2,0.62883,0.30872,0.9122,0.9852,0.97432,0.99326,0.85176,0.60116,0.25487,0.90385,0.004819,0.004819,0.004819
159,27987,0.62982,0.30839,0.91332,0.98541,0.97411,0.99328,0.85233,0.60105,0.2547,0.90378,0.004786,0.004786,0.004786
160,28163.3,0.62994,0.30886,0.91372,0.98512,0.97416,0.99326,0.85223,0.60119,0.25447,0.90376,0.004753,0.004753,0.004753
161,28339.2,0.63164,0.30904,0.91195,0.98451,0.97446,0.99322,0.85213,0.60142,0.25465,0.90382,0.00472,0.00472,0.00472
162,28514.6,0.62757,0.3078,0.91162,0.98223,0.97728,0.99324,0.85223,0.60143,0.25455,0.90381,0.004687,0.004687,0.004687
163,28691.7,0.62932,0.30984,0.91149,0.9847,0.97432,0.99323,0.85195,0.60143,0.2544,0.90385,0.004654,0.004654,0.004654
164,28867.8,0.62951,0.3084,0.91271,0.98277,0.97634,0.99323,0.85238,0.60119,0.25429,0.90375,0.004621,0.004621,0.004621
165,29043.6,0.62873,0.30712,0.91016,0.98256,0.97638,0.99323,0.85194,0.60128,0.25425,0.90373,0.004588,0.004588,0.004588
166,29219.4,0.62431,0.3066,0.90898,0.98477,0.97438,0.99322,0.85242,0.60134,0.2543,0.90378,0.004555,0.004555,0.004555
167,29396,0.62593,0.30591,0.90886,0.98484,0.97425,0.99321,0.8523,0.60138,0.25425,0.90375,0.004522,0.004522,0.004522
168,29572.1,0.623,0.30707,0.90836,0.98492,0.97446,0.99322,0.85211,0.6016,0.25425,0.90383,0.004489,0.004489,0.004489
169,29748,0.62625,0.30663,0.91037,0.98464,0.97475,0.99319,0.85197,0.60156,0.25408,0.90378,0.004456,0.004456,0.004456
170,29923.8,0.62459,0.30839,0.91092,0.98485,0.97467,0.99322,0.85242,0.60145,0.25385,0.9037,0.004423,0.004423,0.004423
171,30099.7,0.6208,0.30452,0.90954,0.98496,0.97489,0.99327,0.85223,0.60161,0.25388,0.90373,0.00439,0.00439,0.00439
172,30275.6,0.6245,0.3062,0.9116,0.98481,0.9751,0.99332,0.85233,0.60187,0.25391,0.90389,0.004357,0.004357,0.004357
173,30452.1,0.62272,0.30477,0.90865,0.98493,0.97496,0.99328,0.85248,0.60186,0.25385,0.90389,0.004324,0.004324,0.004324
174,30628.1,0.61901,0.30269,0.90812,0.98513,0.97484,0.99328,0.8525,0.60152,0.25378,0.90369,0.004291,0.004291,0.004291
175,30804,0.6169,0.30086,0.9071,0.98513,0.97477,0.99328,0.85259,0.60163,0.25406,0.90375,0.004258,0.004258,0.004258
176,30980,0.62111,0.30245,0.90797,0.98506,0.97475,0.99328,0.85286,0.60176,0.25377,0.90378,0.004225,0.004225,0.004225
177,31156.3,0.61822,0.30344,0.91003,0.98514,0.97489,0.99333,0.85288,0.60154,0.25348,0.9037,0.004192,0.004192,0.004192
178,31332.2,0.62081,0.30255,0.90807,0.98499,0.97508,0.99331,0.85285,0.60174,0.25345,0.90379,0.004159,0.004159,0.004159
179,31508.6,0.6207,0.3013,0.90779,0.98492,0.9751,0.99329,0.85309,0.60172,0.25354,0.90375,0.004126,0.004126,0.004126
180,31684.5,0.61903,0.3011,0.90667,0.98467,0.97538,0.99331,0.85315,0.60171,0.25333,0.90377,0.004093,0.004093,0.004093
181,31860.1,0.61818,0.30103,0.90724,0.98449,0.97574,0.99328,0.85265,0.60165,0.25309,0.90377,0.00406,0.00406,0.00406
182,32036.4,0.61924,0.30176,0.90766,0.98485,0.97502,0.99329,0.85266,0.60185,0.25299,0.90388,0.004027,0.004027,0.004027
183,32212.4,0.61838,0.30005,0.90631,0.98478,0.9751,0.99328,0.85259,0.60178,0.25293,0.90384,0.003994,0.003994,0.003994
184,32389.3,0.61915,0.29985,0.90947,0.98471,0.9751,0.9933,0.85243,0.602,0.25291,0.90393,0.003961,0.003961,0.003961
185,32565.7,0.6187,0.30104,0.90668,0.98486,0.97489,0.99329,0.8528,0.60196,0.25287,0.90389,0.003928,0.003928,0.003928
186,32742.6,0.61644,0.3009,0.90715,0.98515,0.97496,0.99329,0.85281,0.60197,0.25276,0.90383,0.003895,0.003895,0.003895
